,Japanese Name,Romanized Name,Official English Name,Debut,Affiliations,Occupations,Status,Birthday,,Character,Origin,Residence,Age,Height,Blood Type,English Name,Meaning,Type,Age at Death,LiveAction Portrayal,Alias,First Appearance,Admiral,Main Ship,Total Bounty,Affiliation,Patriarch,Captain,Occupation,Leaders,Residency,12th Leader,13th Tobe Leader,Kingdom,Boss,Matriarch,GovernorGeneral, Number,Size,First appearance,Region,Netflix English VA,Birth Name,Japanese VA,Funi English VA,Features,Weight,Fruit Debut,Usage Debut,Previous User, key,Vessel,Homeland,Completion Date,Length,Affiliates
1093,ディーゼル,Dīzeru,Diesel,Chapter 827; Episode 786,Big Mom Pirates,Pirate,Alive,,Spencer Liles,Diesel,,Totto Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,ディスクJ（ジェイ）,Disuku Jei,Disc J,Chapter 1040; Episode 1079,Kid Pirates,Pirate,Unknown,,,Disc J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,ディディット,Diditto,Didit,Chapter 585; Episode 496,Goa Kingdom,Noble,Alive,,Janelle Lutz,Didit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Hira Hira no Mi,Diamante,Diamante,Chapter 700; Episode 629,Donquixote Pirates,Pirate Executive Officer; Colosseum Proprietor (former); Swordsman,Alive,May 29th,Brad Hawkins,Diamante,North Blue,Downs (former)Spider Miles (former)Dressrosa (former),45,"525 cm (17'3"")",S,Ripple-Ripple Fruit,Flap; Flutter,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,デビル・ディアス,Debiru Diasu,Devil Dias (Viz); Devil (Funimation),Chapter 497; Episode 391,Acumate Pirates,Pirate; Captain (former); Slave,Unknown,September 18th,Darryl Roberds,Devil Dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,傳ジロー,Denjirō,Denjiro,Chapter 919; Episode 909,Kozuki Family; Nine Red Scabbards; Kyoshiro Family; Kurozumi Family (undercover),Samurai; Retainer of the Kozuki Family; Yakuza Boss; Money Changer; Thief,Alive,October 26th,Christopher Wehkamp,Denjiro,Grand Line (Wano Country),Wano Country (Flower Capital),47,"306 cm (10'0½"")",XF,,,,,,"""Kyoshiro"" (狂死郎, Kyōshirō?)""Ushimitsu Kozo"" (丑三つ小僧, Ushimitsu Kozō?, Meaning ""Witching Hour Boy"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,デン,Den,Den,Chapter 616; Episode 534,,Shipwright; Sea Forest Researcher; Coating Mechanic,Alive,October 10th,J. Paul Slavens,Den,Grand Line (Ryugu Kingdom; Fish-Man Island),Sea Forest,62,"435 cm (14'3"")",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,デマロ・ブラック,Demaro Burakku,"Demaro Black (Funimation),Demalo Black (Viz manga)",Chapter 598; Episode 517,Fake Straw Hat Crew,Pirate; Captain,Alive,May 5th,Eric Vale,Demaro Black,East Blue,,36,"245 cm (8'0"")",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,デリンジャー,Derinjā,Dellinger,Chapter 702; Episode 632,Donquixote Pirates,Pirate Officer,Alive,August 11th,Brandon McInnis,Dellinger,North Blue,Spider Miles (former); Dressrosa (former),16,"145 cm (4'9"")",S (RH-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,デラクアヒ,Derakuahi,Delacuaji,Chapter 551; Episode 460,Subordinate of the Whitebeard Pirates,Pirate; Captain,Alive,September 1st,Michael Speck,Delacuaji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,ディカルバン兄弟,Dikaruban Kyōdai,Decalvan Brothers (Viz)DeCalvan Brothers (Funimation),Chapter 551; Episode 460,Subordinates of the Whitebeard Pirates,Pirates; Captains,Alive,May 22nd,Jeff Plunk (left eye)Wyn Delano (right eye),Decalvan Brothers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,ダルマ,Daruma,Daruma,Chapter 611; Episode 530,New Fish-Man Pirates,Pirate; Pirate Officer,Alive,July 8th,Oscar Seung,Daruma,Grand Line (Ryugu Kingdom; Fish-Man Island),Fish-Man District (former),30,122 cm (4'),F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Supa Supa no Mi,Dazu Bōnesu,Daz Bonez,Chapter 160; Episode 103,Cross Guild; Baroque Works (former),Pirate; Assassin; Officer Agent (former); Bounty Hunter (former),Alive,January 1st,Brett Weaver,Daz Bonez,West Blue,,29 (debut)31 (after timeskip),"212 cm (6'11½"")",F,Dice-Dice Fruit,Sound of slicing,Paramecia,,,"""Mr. 1"" (Mr. 1（ミスター・ワン）, Misutā Wan?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,ダマスク,Damasuku,Damask,Chapter 706; Episode 652,,Pyromaniac (Viz: Arsonist),Alive,,Hiromu Miyazaki,Damask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,ダルメシアン,Darumeshian,Dalmation (WT100)Dalmatian (OPCG),Chapter 553; Episode 462,Marines,Vice Admiral,Alive,November 1st,Philip Weber,Dalmatian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,"Ushi Ushi no Mi, Model: Bison",Doruton,DaltonDolton (Odex),Chapter 132; Episode 79,Sakura Kingdom,King of the Sakura Kingdom; Chief Royal Guard of the Drum Kingdom (former),Alive,June 10th,J. Michael Tatum,Dalton,Grand Line (Drum Kingdom),Bighorn; Drum Castle (Former),33 (debut)35 (after timeskip),"218 cm (7'2"")",X,"Ox-Ox Fruit, Bison Model (Viz);Ox-Ox Fruit (4Kids);Ox-Ox Fruit, Bison Form (Funimation)",Bison,Zoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,大黒,Daikoku,Daikoku,Chapter 931; Episode 925,Beasts Pirates; Orochi Oniwabanshu; Kurozumi Family,Ninja; Pirate,Alive,May 12th,Monty Thompson,Daikoku,Wano Country,"Flower Capital, Wano Country",42,"436 cm (14'3"")",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,ダイギン,Daigin,Daigin,Chapter 531; Episode 432,Marines,Commodore,Alive,August 24th,Scott Winchell,Daigin,West Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,ダイフゴー,Daifugō,Daifugo,Chapter 934; Episode 928,Beasts Pirates; Tama,Shinuchi; Vice Warden of the Prisoner Mine,Alive,,Josh Martin,Daifugo,,,,,,Scorpion SMILE,,Artificial Zoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,デージー,Dējī,Daisy,Chapter 516; Episode 410,Kuja; Kuja Pirates,Pirate,Alive,February 15th,Mary Morgan,Daisy,Calm Belt (Amazon Lily),Amazon Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,ダイダロス,Daidarosu,Daedalus (Viz); Daidalos (Funimation),Chapter 630; Episode 550,,,Deceased,,,Daidalos,Grand Line (Ryugu Kingdom; Fish-Man Island),Fish-Man District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,ダイコン,Daikon,Daikon,Chapter 732; Episode 664,Tontatta KingdomScouting UnitStraw Hat Grand Fleet,Scout; Pirate,Alive,,Kyle Phillips,Daikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,ダガマ,Dagama,Dagama,Chapter 704; Episode 632,Prodence Kingdom,Tactician,Alive,September 26th,Marc Swint,Dagama,,,,,,,,,,,,,,,,,,,,,,,,,,,,0122,,,,,,,,,,,,,,,,,,
1116,ダチョウマン,Dachōman,N/A,Chapter 940; Episode 937,Beasts Pirates,Gifter,Alive,,Kiba Walker,Dachoman,,,,,,Ostrich SMILE,,Artificial Zoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,ダディーディー,Dadīdī,N/A,Chapter 79; Episode 35,World Government Orphanage,Housefather,Alive,,,Daddy Dee,East Blue (Conomi Islands),Cocoyasi Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,ディーアール,Dī Āru,D.R. (VIZ)DR (Netflix),Monsters; ONA 1,Cyrano,Criminal; Swordsman,Deceased,,Yoshitsugu Matsuoka (voice comic);Mitsuaki Madono (anime),D.R.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyle McCarley,,,,,,,,,,,,,,
1119,シラノ,Shirano,Shirano,Monsters; ONA 1,D.R.,Swordsman,Deceased,,Hōchū Ōtsuka (voice comic);Hiroki Tōchi (anime),Cyrano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ray Chase,,,,,,,,,,,,,,
1120,クリエル,Kurieru,Curiel,Chapter 552; Episode 461,Whitebeard Pirates,10th Division Commander; Pirate; Sniper,Alive,September 12th,Ricco Fajardo,Curiel,Grand Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,カーリー・ダダン,Kārī Dadan,Curly Dadan,Chapter 440; Episode 324 (mentioned)Chapter 0; Episode 0 (seen),Dadan Family,"Mountain Bandit Boss; Caretaker of Monkey D. Luffy, Portgas D. Ace, and Sabo (former)",Alive,August 30th,Jessica Cavanagh,Curly Dadan,East Blue,Mt. Colubo,43 (debut)53 (pre-timeskip)55 (after timeskip),"221 cm (7'3"")",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,クロッカス,Kurokkasu,Crocus,Chapter 102; Episode 62,"Roger Pirates (former), Laboon",Doctor; Lighthouse Keeper; Pirate (former),Alive,June 4th,Jerry Russell;Burl W. Proctor (Episode 379-381);Gregory Lush (Episode 772+),Crocus,Grand Line,Reverse Mountain (Twin Cape),71 (debut)73 (after timeskip),"203 cm (6'8"")",XF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,クーラン,Kūran,N/A,Chapter 906; Episode 884,Levely,King,Alive,,,Couran,,Cameron Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Suna Suna no Mi,Kurokodairu,Crocodile,Chapter 126; Episode 76,Cross Guild;Seven Warlords of the Sea (former);Baroque Works (former);Impel Down (former),Pirate; Cross Guild Chief Officer; Baroque Works President (former); Proprietor of Rain Dinners (former); Prisoner of the Great Prison (former),Alive,September 5th,John Swasey,Crocodile,Grand Line,"Rainbase, Arabasta (former)",44 (debut)46 (after timeskip),"253 cm (8'4"") (debut, after timeskip)",S,Sand-Sand Fruit,Sand,Logia,,,"""Mr. 0"" (ミスター・ゼロ, Misutā Zero?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,コットン,Kotton,Cotton,Chapter 718; Episode 648,Tontatta Kingdom Scouting Unit; Tontatta Pirates; Straw Hat Grand Fleet; Straw Hat Pirates,Scout; Pirate,Alive,,Madeleine Morris,Cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,コスモス,Kosumosu,Cosmos,Chapter 516; Episode 410,Kuja; Kuja Pirates,Pirate,Alive,September 26th,Anastasia Muñoz,Cosmos,Calm Belt (Amazon Lily),Amazon Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,コゼット,Kozetto,Cosette,Chapter 839; Episode 800,Germa Kingdom,Head Chef,Alive,May 2nd,Kimberly Grace,Cosette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,コスモ,Kosumo,Cosmo,Chapter 437 (cover),Automata,Sergeant,Alive,,,Cosmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,コーネリア,Kōneria,Cornelia,Chapter 552; Episode 461,Spade Pirates,Pirate,Alive,,Corey Wilder,Cornelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,コリブー,Koribū,Coribou,Chapter 600; Episode 519,"Caribou Pirates; Fake Straw Hat Crew (former, temporary)",Pirate; Captain,Alive,May 2nd,Dalton Tindall,Coribou,North Blue,,29,"250 cm (8'2"")",XF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,コーギー,Kōgī,Corgy,Chapter 328;Episode 233,World Government,Government official,Alive,August 25th,Charles C. Campbell,Corgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,コニス,Konisu,Conis,Chapter 239; Episode 154,Pumpkin Cafe,Waitress,Alive,May 20th,Laura BaileyJill Harris (Episode of Skypiea),Conis,Grand Line (Skypiea),,19 (debut)21 (after timeskip),"176 cm (5'9"")",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,コニー,Konī,Conney; Connie (Former: Chapter 1099)‡,Chapter 1099,,Queen dowager,Alive,,,Conney,,Sorbet Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,コンスロット,Konsurotto,Concelot,Chapter 809; Episode 758,Mokomo Dukedom; Inuarashi Musketeer Squad  Ninja-Pirate-Mink-Samurai Alliance (disbanded),Three Inuarashi Musketeers,Alive,November 2nd,Adam Gibbs,Concelot,Grand Line (Mokomo Dukedom),"Kurau City, Zou",29,"204 cm (6'8"")",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,コンポ,Konpo,Comp,Chapter 1040; Episode 1066,Kid Pirates,Pirate,Unknown,,Chihaya Terasaki,Compo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,コーミル,Kōmiru,Komille (Viz)Comille (WT100),Chapter 289 (cover); Episode 421,Marines; G-2,Vice Admiral,Alive,October 1st,Doug Jackson,Comil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,コロンブス,Koronbusu,Columbus,Chapter 906 (cover),Yonta Maria Grand Fleet; Straw Hat Grand Fleet,Pirate,Alive,May 16th,,Columbus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,コルスコン,Korusukon,Colscon,Chapter 574,Whitebeard Pirates,Pirate; Captain,Alive,,,Colscon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,ココア,Kokoa,Cocoa,Chapter 598; Episode 518,Fake Straw Hat Crew,Pirate,Alive,November 7th,Luci Christian,Cocoa,East Blue,,27,"138 cm (4'6"")",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,ココックス,Kokokkusu,Buckox,Chapter 22; Episode 18,Animals of the Island of Rare Animals,,Alive,February 19th,Dan Green,Cocox,East Blue (Island of Rare Animals),Island of Rare Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,クローバー,Kurōbā,Clover,Chapter 391; Episode 275,Ohara Scholars,Professor and archaeologist of the Tree of Knowledge; Explorer (former),Deceased,April 8th,Kent Williams,Clover,West Blue (Ohara),,,"172 cm (5'8"")",X,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,コバーン,Kobān,N/A,Chapter 288; Episode 187,Shandia,Chief of Shandia,Deceased,,Grant James,Coburn,Jaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,忠治,Chūji,Chuji,Chapter 1034; Episode 1061,,,Alive,,Misaki Watada,Chuji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,クラップ,Kurappu,Clapp,Chapter 1095,,Slave; Church manager (former),Deceased,,,Clapp,South Blue (Sorbet Kingdom),Sorbet Kingdom; Mary Geoise (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,チュチューン,Chuchūn,Chuchun (Viz);Chirp Chirp (FUNimation),Chapter 306; Episode 209,Foxy Pirates,Pirate; Mount; Pet,Alive,,Chris Cason,Chuchun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,ちょめ,Chome,Chome,Chapter 931; Episode 925,Beasts Pirates; Orochi Oniwabanshu (former); Kurozumi Family (former),Ninja; Pirate,Alive,April 24th,Shelby Chambers,Chome,Wano Country,"Flower Capital, Wano Country",14,"150 cm (4'11"")",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,シュシュ,Shushu,Chouchou;Shushu (WT100),Chapter 12; Episode 6,Hocker,Pet; Pet Shop Keeper,Alive,November 22nd,Christopher Bevins,Chouchou,East Blue (Organ Islands),Orange Town,12 (debut);14 (after timeskip),"40 cm (1'4"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,ショコラ,Shokora,Chocolat,Chapter 598; Episode 517,Fake Straw Hat Crew,Pirate,Unknown,September 21st,Brina Palencia,Chocolat,East Blue,,26,"181 cm (5'11"")",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,チョイ,Choi,Choi,Chapter 555; Episode 464,Ally of the Whitebeard Pirates,Pirate; Captain,Alive,,N/A,Choi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,クリオネ,Kurione,Clione,Chapter 810; Episode 757,Heart Pirates,Pirate,Unknown,February 17th,Christian Thorsen,Clione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,チョコポリス,Chokoporisu,Choco-Police (VIZ); Chocopolice (Funimation),Chapter 827; Episode 786,Cacao Island,Police Officer,Unknown,,Michael Schneider,Choco Police,,"Chocolat Town, Cacao Island, Totto Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,お蝶,O-Chō,Ocho,Chapter 952; Episode 946,,Yakuza Boss; Prisoner (former); Samurai,Alive,,Cassie Ewulu,Cho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,チヤ,Chiya,N/A,Chapter 287; Episode 187,Shandia,Pantri,Deceased,,Bryan Massey,Chiya,Jaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,千早,Chihaya,N/A,Chapter 919; Episode 909,,Student,Alive,,Ashe Thurman,Chihaya,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,チムニー,Chimunī,Chimney,Chapter 322; Episode 229,Kokoro,Sunday stationmaster of the Shift Station,Alive,June 2nd,Lara Woodhull,Chimney,Grand Line (Water 7),Water 7 (Shift Station),8 (debut)10 (after timeskip),"115 cm (3'9"")",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,チンジャオ,Chinjao,Qing Jiao; Chin Jao,Chapter 704; Episode 632,Chinjao Family; Happo Navy; Straw Hat Grand Fleet,12th Leader of the Happo Navy; Pirate (former),Alive,December 12th,Bradley Campbell,Chinjao,West Blue (Kano Country),Kano Country,78,"520 cm (17'1"")",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,お蝶々,O-Chōchō,N/A,Chapter 921; Episode 912,,,Alive,,Hannah Alyea,Chocho,,Wano Country (Okobore Town; formerly Bakura Town),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,チキン,Chikin,Mrs. Chicken,Chapter 1; Episode 505,,Fishmonger,Alive,February 8th,,Chicken,East Blue (Goa Kingdom),Foosha Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,チチリシア,Chichirishia,Chichilisia,Chapter 879 (cover),,Leader of the Niho Navy,Alive,,,Chichilisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,チコリ,Chikori,N/A,Chapter 738; Episode 672,Tontatta Tribe; Tonta CorpsStraw Hat Grand Fleet,,Alive,,,Chicory,,Green Bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,チュウ,Chū,Choo;Chu (Live-Action),Chapter 69; Episode 31,Arlong Pirates; Sun Pirates (former),Pirate Officer; Sniper,Alive,May 23rd,Jay Hickman,Chew,"Grand Line (Ryugu Kingdom, Fish-Man Island)",Fish-Man District (former); Arlong Park (former),33 (debut)35 (after timeskip),"257 cm (8'5"")",X,,,,,Len-Barry Simons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,チェスキッパ,Chesukippa,Chesskipper,Chapter 398; Episode 278,,Pirate; Captain,Unknown,,Unknown,Chesskippa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,シャーロット・ズコット,Shārotto Zukotto,Charlotte Zuccotto,Chapter 862; Episode 832,Charlotte Family; Big Mom Pirates,Pirate Officer; Minister of Alcohol,Alive,,,Charlotte Zuccotto,,Liqueur Island,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,チェスマーリモ,Chesumārimo,Chessmarimo,Chapter 147; Episode 87,"Bliking Pirates, Drum Kingdom",Servant of Wapol; Pirate,Alive,,"Kyle C. Jones (Chess),Charles Baker (Kuromarimo)",Chessmarimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,シャーロット・ユーエン,Shārotto Yūen,Charlotte Yuen,Chapter 894; Episode 869,Charlotte Family; Big Mom Pirates,Pirate Officer,Alive,October 15th,Kyle Phillips,Charlotte Yuen,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,シャーロット・ウエハース,Shārotto Uehāsu,Charlotte Wafers,Chapter 845; Episode 809,Charlotte Family,,Alive,,Jill Harris,Charlotte Wafers,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,シャーロット・ウィロ,Shārotto Wiro,Charlotte Uiro,Chapter 845; Episode 809,Charlotte Family,,Alive,,,Charlotte Wiro,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,シャーロット・タブレット,Shārotto Taburetto,Charlotte Tablet,Chapter 862; Episode 832,Charlotte Family; Big Mom Pirates,Pirate Officer; Minister of Toppings,Alive,,Cory Jordan Phillips,Charlotte Tablet,,Topping Island,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,シャーロット・スナック,Shārotto Sunakku,Charlotte Snack,Chapter 894; Episode 798 (silhouette),Charlotte Family; Big Mom Pirates,Pirate Officer; Minister of Fries; Sweet Commander (former),Alive,October 29th,Travis Mullenix,Charlotte Snack,,Potato Island,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,チェス,Chesu,Chess,Chapter 131; Episode 78,"Bliking Pirates (disbanded), Drum Kingdom (former)",Head of Staff; Pirate,Alive,July 20th,Kyle C. Jones,Chess,Grand Line (Drum Kingdom),,30 (debut)32 (after timeskip),"194 cm (6'4"")",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Shibo Shibo no Mi,Shārotto Sumūjī,Charlotte Smoothie,Chapter 846; Episode 812,Charlotte Family; Big Mom Pirates,Sweet Commander; Minister of Juice,Alive,October 12th,Dawn M. Bennett,Charlotte Smoothie,Grand Line (Totto Land),100% Island,35,"464 cm (15'3"")",F,Wring-Wring Fruit,Squeeze,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,シャーロット・レザン,Shārotto Rezan,Charlotte Raisin,Chapter 845; Episode 809,Charlotte Family; Big Mom Pirates,Pirate Officer,Alive,March 23rd,Zeno Robinson,Charlotte Raisin,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,シャーロット・プリム,Shārotto Purimu,Charlotte Prim,"Chapter 896, Episode 871",Charlotte Family; Big Mom Pirates,Pirate Officer,Alive,July 22nd,,Charlotte Prim,Grand Line (Totto Land),,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Memo Memo no Mi,Shārotto Purin,Charlotte Pudding,Chapter 651; Episode 571,Charlotte Family; Big Mom Pirates,Pirate Officer; Chocolatier; Cafe Owner,Alive,June 25th,Jill Harris,Charlotte Pudding,Grand Line (Totto Land),Cacao Island,16,"166 cm (5'5"")",XF,Memo-Memo Fruit,Memory,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,シャーロット・プラリネ,Shārotto Purarine,Charlotte Praline,Chapter 830; Episode 790,Sun Pirates; Charlotte Family (defected),Minister of Design (former); Pirate,Alive,July 22nd,Sara Ragsdale,Charlotte Praline,Grand Line (Totto Land),Unique Island (former),29,"800 cm (26'3"")",S (RH-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,シャーロット・ポワール,Shārotto Powāru,Charlotte Poire,Chapter 860; Episode 830,Charlotte Family; Big Mom Pirates,Pirate Officer,Alive,October 19th,Corinne Sudberg,Charlotte Poire,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,シャーロット・サンマルク,Shārotto Sanmaruku,Charlotte Saintmarc (Viz);Charlotte Saint-Marc (WT100),Chapter 862; Episode 832,Charlotte Family; Big Mom Pirates,Pirate Officer; Minister of Essence,Alive,,John Stimac,Charlotte Saint-Marc,,Flavor Island,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,Pero Pero no Mi,Shārotto Perosuperō,Charlotte Perospero (Viz); Charlotte Perosperaw (WT100),Chapter 834; Episode 795,Charlotte Family; Big Mom Pirates,Pirate Officer; Minister of Candy,Alive,March 14th,Aaron Campbell,Charlotte Perospero,Grand Line (At a random port),Candy Island,50,"333 cm (10'11"")",X,Lick-Lick Fruit,Sound of licking,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,Netsu Netsu no Mi,Shārotto Ōbun,Charlotte Oven,Chapter 861; Episode 827,Charlotte Family; Big Mom Pirates,Pirate Officer; Minister of Browned Food,Alive,November 25th,Jason Marnocha,Charlotte Oven,Grand Line (On a boat),Yakigashi Island,48,"492 cm (16'2"")",F,Heat-Heat Fruit,Heat,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Kuri Kuri no Mi,Shārotto Opera,Charlotte Opera,Chapter 829; Episode 789,Charlotte Family; Big Mom Pirates,Pirate Officer; Minister of Whipped Cream,Unknown,September 29th,Justin Duncan,Charlotte Opera,,Noko Island,46,,,Cream-Cream Fruit,Cream,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
